,contenido,reply,retweet,like
27,"Hoy recuerdo con mucho cariño a mi mamá Nora Mendoza. Estoy agradecido por todas sus enseñanzas y el amor incondicional. Asimismo, celebro a María de Lourdes, la luz y guía de nuestras vidas, a mi hija Luli, a mis nueras y a todas las madres de mi familia. 

#DíaDeLaMadre",816,1100,"6,9 mil"
28,"Expresamos nuestras más sinceras condolencias al Asambleísta 
@MarceloSimbana
 y a sus familiares por la dolorosa pérdida de su padre Abdón Simbaña. Que Dios lo tenga en su gloria y que descanse en paz.",271,514,"2,9 mil"
29,"Trabajaremos desde la Secretaría de DDHH junto a 
@BernardaOM
 para:

 Luchar contra la violencia hacia las niñas y mujeres
 Aplicar políticas públicas que impulsen la economía violeta
 Fortalecer la educación, salud y justicia 
 La plena vigencia de todos los DDHH",693,778,4 mil
30,"Como gobierno, las puertas siempre estarán abiertas. Fortaleceremos la relación con los ciudadanos a través de la transparencia de la información, canales abiertos de comunicación y un servicio de calidad. Lucharemos por el bienestar de todos los ecuatorianos. ",108,274,"1,2 mil"
31,"Desde el Ministerio de Inclusión Económica y Social, 
@maemontanov
 tendrá las siguientes prioridades: 

 Protección y movilidad social 
 Combatir la desnutrición crónica infantil 
 Apoyo integral a mujeres en emprendimiento, conciliación familiar y corresponsabilidad",527,525,"2,4 mil"
32,"La función pública nos llama a ser ejemplares, a conversar abiertamente con la ciudadanía y a incluir sus ideas y propuestas. En este gobierno, la transparencia y la profunda vocación de servicio regirán el trabajo. 

¡Este es el Ecuador del encuentro! ",234,338,"1,9 mil"
33,".
@mariabrownp
 será la Ministra de Educación. 

Trabajaremos incansablemente por el acceso a oportunidades educativas en todos los niveles. Los niños y jóvenes del Ecuador tendrán educación de calidad. ",160,281,"1,5 mil"
34,"Vamos a reemplazar la institución con una nueva secretaría de vanguardia, en línea con los más exitosos modelos de gestión educativa.",106,259,"1,5 mil"
35,"Alejandro Ribadeneira estará a cargo de la Secretaría de Educación Superior, Ciencia, Tecnología e Innovación. 

Facilitaremos el acceso de los jóvenes a las universidades, para que tengan libertad de estudiar y seguir sus vocaciones.",94,235,"1,4 mil"
36,Desde la Presidencia tendremos una Unidad Coordinadora de Vacunación dirigida por un empresario ecuatoriano que asumirá la tarea de apoyar al sistema de salud y al gobierno en el proceso de vacunación.,121,235,"1,1 mil"
37,"Para nuestro gobierno será un honor contar con el liderazgo y preparación de la Dra. 
@XimenaGarzon11
 en el Ministerio de Salud. 

Tenemos el reto más grande y noble: salvar el futuro de un país entero. Estamos seguros que lo vamos a lograr, la salud de las familias es prioridad.",142,285,"1,3 mil"
38,"En la Secretaría del Deporte, que pronto será llamado Ministerio del Deporte, estará a cargo 
@SebasPalaciosSP
. 

El deporte es un factor de Encuentro en la sociedad. Con su liderazgo, implementaremos proyectos que impulse a los héroes deportivos del presente y del futuro.",90,222,1 mil
39,".
@maemontanov
 va a liderar el Ministerio de Inclusión Económica y Social. 

Atenderá a los ecuatorianos más necesitados, aquellos que se encuentran en situación de vulnerabilidad. Trabajará por erradicar la desnutrición infantil, la pobreza y el hambre.",117,228,"1,1 mil"
40,"Desde sus espacios, ellos se han dedicado a crear oportunidades y a luchar cada día por un mejor futuro. El Ecuador nos llama a ser funcionarios ejemplares. Como gobierno, tenemos la oportunidad de demostrar que la buena política puede lograr bienestar y seguridad para todos.",61,207,1 mil
41,"El país se expresó a favor de una nueva forma de hacer política, una que pone a los ciudadanos en el centro del servicio público, y a la que nosotros denominamos el Ecuador del Encuentro. Hoy presento a los ministros del Frente Social, ciudadanos comprometidos con el cambio. ",43,176,787
42,"Gracias 
@SecBlinken
 por su compromiso con la prosperidad y el bienestar del pueblo ecuatoriano. La cooperación entre nuestros países es fundamental para el desarrollo de la región. Estados Unidos y Ecuador trabajarán en conjunto para fortalecer sus relaciones.",66,198,748
43,"Thank you 
@SecBlinken
 for your commitment to the prosperity and well-being of the Ecuadorian people. Cooperation between our countries is essential for the development of the region. The United States and Ecuador will work together to strengthen their relations.",124,300,"1,2 mil"
44,"Ganó el Ecuador, la democracia, la libertad y las oportunidades.

Nos espera un gran futuro. Debemos trabajar de la mano, juntos, para salir adelante. El cambio real empieza por nosotros. ",156,461,2 mil
45,"Felicidades a los habitantes de El Oro, son 137 años de Provincialización. 

Tienen mi compromiso de trabajar en el desarrollo local, la reactivación económica y la prosperidad de toda la provincia. Saludos. ",144,345,"1,3 mil"
46,"Bolívar cumple 137 años de Fundación. 

Un saludo fraterno a todas sus familias en este maravilloso día. Juntos haremos de Bolívar una provincia próspera, con empleo, salud y oportunidades de bienestar para todos.",686,1000,"6,4 mil"
47,"El cambio está en nuestras manos. 

#DíaDeLaTierra",331,677,5 mil
48,"Seguimos trabajando en el proceso de transición.  

En nuestro gobierno contaremos con ciudadanos valiosos y comprometidos con el Ecuador y el bienestar de las familias. Juntos construimos un país de oportunidades. ",253,545,"2,4 mil"
49,"Agradezco la bienvenida en la Casa de Nariño y la disposición a fortalecer las relaciones entre nuestros países. Es motivo de celebración para colombianos, ecuatorianos y América Latina este encuentro que logrará un verdadero cambio.",465,766,"3,7 mil"
50,"A Colombia y Ecuador los une la democracia, la libertad, la igualdad de oportunidades y la seguridad. La cooperación es fundamental para el desarrollo de la región. Con el Presidente 
@IvanDuque
 trazaremos una hoja de ruta que guiará el trabajo durante nuestra gestión.",400,639,"3,2 mil"
51,"Acabamos de llegar a Bogotá. Nuestra siguiente parada es la Casa de Nariño para el primer encuentro con el Presidente 
@IvanDuque
. Temas importantes: seguridad, comercio y cooperación bilateral.",142,427,"2,2 mil"
52,"Me siento con mucho optimismo. Sé que hemos pasado momentos difíciles como país, pero los ecuatorianos demostramos una y otra vez que trabajando juntos podemos salir adelante. Vienen mejores días, llenos de esperanza, crecimiento y bienestar para todos.

El cambio ya llegó. ",186,464,"2,5 mil"
