,contenido,reply,retweet,like
112,"La única reunión que he mantenido con Yaku Pérez fue pública, transparente y los únicos temas que tratamos fueron los que conocieron todos los ecuatorianos. Ese es el espíritu democrático de quienes queremos un verdadero cambio, diálogo y transparencia.",202,946,"6,3 mil"
113,"El Guabo es hogar de miles de agricultores en El Oro. Compartimos con bananeros el PLAN EQUIDAD RURAL, que ofrece al agro:

 Acceso a créditos baratos
 Asistencia técnica 
 Educación, salud, vivienda y seguridad 

Encontrémonos por más productos agrícolas competitivos. ",83,228,1 mil
114,"En Pichincha tuvimos maravillosos encuentros con miembros de comunidades indígenas y representantes de cooperativas de ahorro y crédito. En la tarde compartimos con jóvenes. 

TODOS queremos un Ecuador con bienestar, #EncontrémonosParaLograrlo. 

¡GRACIAS! ",258,357,"2,7 mil"
115,"Nos reunimos con el Secretario del Estado de Maryland y conversamos sobre futuras capacitaciones de manejo de crisis y desastres para nuestros médicos y militares. Maryland tiene la Academia Naval más grande del país y el mejor hospital de Estados Unidos, Johns Hopkins Hospital.",87,218,"1,3 mil"
116,"Los ecuatorianos ponemos la familia en el corazón como motor para luchar. 

Por eso crearemos empleos bien pagados que apoyen a la economía de los hogares. Padres y madres con trabajo logran bienestar, seguridad y felicidad.

#EncontrémonosParaLograrlo",140,265,"1,5 mil"
117,El trabajo honesto te lleva al éxito.,194,458,"2,3 mil"
118,"ENCONTRÉMONOS POR EL ECUADOR. 

#EncontrémonosParaLograrlo",100,254,"1,7 mil"
119,"El agua es un recurso que debe ser valorado y consumido conscientemente. Es vital y urgente protegerlo para que todos los ecuatorianos accedan a agua limpia y de calidad. 

¡AGUA PARA EL ECUADOR! 

#EncontrémonosParaLograrlo
#DíaMundialDelAgua",519,1100,"6,2 mil"
120,"Iniciamos el día en 
@ecuavisa
 y una cadena con radios de la Costa. Esta semana continuaremos encontrándonos con ecuatorianos en todo el país para lograr juntos un verdadero cambio. 

¡Feliz lunes! Faltan 20 días para las elecciones. 

#EncontrémonosParaLograrlo",41,134,1 mil
121,"Encontrémonos por un Ecuador democrático, libre, con bienestar y felicidad para todos. 

#EncontrémonosParaLograrlo",36,111,875
122,Muchas gracias a los ecuatorianos detrás de escena de la organización del debate. Son unos grandes. ,41,118,924
123,"Muchos jóvenes quieren emprender, pero se encuentran con trabas. No es justo que tengan que pagar impuestos antes de vender. Apoyar su espíritu emprendedor es el camino para crear empleos y reactivar la economía del Ecuador. 

#EncontrémonosParaLograrlo",103,477,"2,8 mil"
124,"Mañana a las 8:00 PM los invito a la transmisión EN VIVO desde mis redes sociales del debate presidencial organizado por el 
@cnegobec
. 

A debatir con ideas y propuestas. ¡Los espero! 

FB: https://facebook.com/LassoGuillermo/posts/5247806791927188…
YT: https://youtu.be/RPL1mOH3Zm4

#EncontrémonosParaLograrlo",225,541,"3,1 mil"
125,"Debatamos con ideas y propuestas. Los espero en #EcuadorDebate2021. 

https://vm.tiktok.com/ZMeAN68KT/",170,467,"3,7 mil"
126,"Encontrémonos por un Ecuador seguro, justo e igualitario para todas las niñas y mujeres. 

#EncontrémonosParaLograrlo",47,175,"1,3 mil"
127,"Reitero mi posición de exigir transparencia y solidaridad en el proceso de vacunación. Nadie de mi familia, ni mi equipo de campaña se ha vacunado.",106,290,"1,5 mil"
128," Acceso a créditos baratos 
 Rehabilitar y construir institutos educativos 
 La protección de la naturaleza y fuentes hídricas 
 Hospitales y centros de salud 

Un saludo especial a las comunidades y gracias a las radios que se unieron hoy. 

#EncontrémonosPorLaAmazonía",749,796,"6,5 mil"
129,"Mi solidaridad con la Amazonía, que se ha visto afectada por las lluvias e inundaciones, y las cenizas del volcán Sangay. En una cadena radial con todas las provincias de la región, nos encontramos por:

 Fortalecer la gestión de riesgos 
 La seguridad ante amenazas naturales",39,109,658
130,"Hoy ha sido un día maravilloso, un día de reencuentro con una gran amiga, 
@maemontanov
, muy valiosa, ella y su movimiento Cambio Ciudadano apoyarán nuestra campaña para lograr ese Ecuador Libre y Democrático que todos aspiramos. ",84,208,"1,2 mil"
131,Mostrar este hilo,135,335,"2,1 mil"
132,"Aquí mi COMPROMISO FIRMADO por las MUJERES Y NIÑAS.

Para ser el país moderno, desarrollado y próspero que queremos, es fundamental que resolvamos la inequidad, discriminación y violencia que soporta el 50% de nuestra población, las niñas y mujeres.

#EncontrémonosParaLograrlo",315,695,"5,9 mil"
133,"Francisco, planteamos capacitación a la Policía y la Fiscalía sobre crímenes de odio contra personas LGBTIQ+ para que exista un adecuado tratamiento e investigación de estos terribles delitos que no deben darse. Queremos un Ecuador sin discriminación. 

#EncontrémonosParaLograrlo",159,504,"2,9 mil"
134,"Es hora de pasar de la indignación a la acción, y ser parte de la lucha por la igualdad. Encontrémonos con las mujeres, para crear más espacios de participación y empoderamiento. 

Este encuentro es por un Ecuador seguro, más justo e igualitario. #EncontrémonosParaLograrlo ",74,453,"2,6 mil"
135,"Hoy nos encontramos por el Ecuador.

Estamos ante la oportunidad histórica de cambiar para bien y lograr un país donde haya trabajos bien pagados, salud y educación de calidad, equidad, protección de la naturaleza y bienestar para todos. 

#EncontrémonosParaLograrlo ",112,362,"1,6 mil"
136,"Hoy a las 20h00 compartiremos nuestras propuestas con distintos sectores de la sociedad civil. Los espero en una transmisión EN VIVO a través de mis redes sociales. 

ENCONTRÉMONOS PARA LOGRARLO.",29,189,"1,2 mil"
137,"Luchar para que los más vulnerables sean vacunados prioritariamente es un sentimiento que nos une a todos. En nuestro gobierno, la vacunación será un proceso transparente y sin privilegios, con responsabilidad y sin descanso. Sin divisiones y encontrándonos por el mismo objetivo.",74,373,"2,3 mil"
138,"Hoy a las 20h00 compartiremos nuestras propuestas con distintos sectores de la sociedad civil. Los espero en una transmisión EN VIVO a través de mis redes sociales. 

ENCONTRÉMONOS PARA LOGRARLO. ",397,1200,"8,4 mil"
139,Mi solidaridad y apoyo a quienes han sufrido ataques por pensar diferente. Mi propuesta es encontrarnos entre ecuatorianos con una causa común: el amor por nuestro país. Unidos no volverá jamás el odio ni la intolerancia.,324,623,"4,6 mil"
140,"Fue un gusto compartir con la Asociación de Productores Agrícolas Autónomos en Santa Lucía. 

Conversamos sobre riego parcelario, semillas gratuitas, créditos baratos e incentivos para el comercio y la inversión. 

Encuentros como este fortalecen a la agroindustria, GRACIAS. ",108,269,"2,1 mil"
141,"Esta es la realidad del campo: preocupación, maestros que gastan sus recursos y escuelas cayéndose. FALTA INFRAESTRUCTURA Y SERVICIOS BÁSICOS. 

Hoy nos encontraremos con ecuatorianos que lo viven cada día, para lograr soluciones y un cambio verdadero en la educación rural.",220,521,"3,6 mil"
142,"Gracias por acompañarme en este camino a escuchar y fortalecer las propuestas que nos llevarán a un Ecuador de progreso. 

#EncontrémonosParaEscucharnos",140,542,"5,1 mil"
143,"Nos reunimos con 
@CongopeEcuador
, el consorcio de los GADs provinciales que impulsa el desarrollo de las provincias. Trabajaremos en rehabilitar carreteras y caminos vecinales, apoyo al sector agropecuario y pesquero, y proyectos de agua potable y alcantarillado.",390,1700,"9,3 mil"
144,"En Ecuador hay capacidad para emprender y mujeres líderes que cambian al mundo cada día con su trabajo. 

Ofreceremos talleres gratuitos sobre administración de negocios y acceso a financiamiento para impulsar los emprendimientos. 

#EncontrémonosParaLograrlo",249,374,"3,2 mil"
145,"Hoy 
@LassoGuillermo
 atendió la invitación que le extendió 
@AMEcuador
 para dialogar acerca de sus ideas y propuestas para fortalecer y coordinar esfuerzos con todos los municipios para así beneficiar a todos los ciudadanos del Ecuador.",361,937,"6,1 mil"
146,"Encontrémonos con las mujeres, para crear más espacios de participación y empoderamiento que promuevan su liderazgo. 

Las mujeres ya son líderes. Estas son unas de nuestras propuestas para que sigan cambiando el mundo. 

#EncontrémonosParaLograrlo",232,514,"3,3 mil"
147,"Muchas mujeres no pueden acceder a las carreras que quieren seguir; encontrémonos para que estudien y trabajen donde deseen y no les digan nunca más que algún trabajo no es para ellas.

Impulsaremos carreras de tecnología con programas de capacitación. #EncontrémonosparaLograrlo",269,660,"5,4 mil"
148,"Les comparto la ruta por la vacunación del Dr. 
@ABorreroVega
. Su última parada fue EEUU y continuará su recorrido para cumplir nuestra meta de vacunar a los ecuatorianos. 

Los mantendremos al tanto de esta gira por la salud. 

#EncontrémonosPorLaSalud",1200.0,2500,"20,9 mil"
149,"Gracias a la Asociación Ecuatoriana de Radiodifusión por este espacio para encontrarnos con los ecuatorianos a través de las más de 170 radios que se enlazaron esta mañana a la cadena nacional.

¡Sigamos encontrándonos para escucharnos! 

#EncontrémonosParaEscucharnos",220,555,"3,3 mil"
150,"La vacunación es fundamental para la salud de las familias. El Dr. 
@ABorreroVega
 ya se encuentra conversando con farmacéuticas, y aprendiendo de países como Chile, Colombia y EEUU para cumplir nuestra meta. La clave es negociar y conseguir la vacuna.

: Cadena Nacional AER.",676,1900,"10,6 mil"
151,"El empleo y el emprendimiento son claves para reactivar la economía y sacar adelante a las familias. Esto es posible con un Ecuador que genere confianza y certidumbre, y que tenga una moneda fuerte. Un país que desdolariza no atrae inversión. 

: Cadena Nacional AER.",422,1000,"4,3 mil"
152,"Conocer la realidad de las mujeres es nuestro deber; no podemos quedarnos de brazos cruzados siendo testigos de estas injusticias.

#EncontrémonosParaEscucharnos y construir un mejor Ecuador.",139,426,"2,3 mil"
153,"Hoy, en un encuentro con la Directiva del Honorable Cuerpo Diplomático del Ecuador, conversamos sobre las propuestas económicas, sociales e institucionales que fortalecerán las relaciones internacionales. 

Gracias por recibirnos. Mi prioridad es el bienestar de los ecuatorianos.",195,371,"3,2 mil"
154,"Gracias a 
@WQRadio_Ec
 por la invitación a este programa especial con grandes periodistas ecuatorianas. Fue un gusto compartir esta mañana con María Josefa Coronel, Verónica Landetta, Blanca Chiquito, Belén Goncalvez y Mónica Orellana.

#EncontrémonosParaEscucharnos",28,119,882
155,"El Estado debe enfocarse en 3 pilares básicos para la lucha contra la violencia hacia las mujeres: prevenir, sancionar y reparar. Es fundamental el acompañamiento y combatir los estigmas en torno a la mujer agredida. 

: 
@WQRadio_Ec
.",64,276,"2,4 mil"
156,"La violencia psicológica y física hacia las mujeres termina en femicidios. Hay que reconocer que la sociedad ecuatoriana es machista y el cambio empieza con la voluntad de un Presidente que se comprometa a garantizar los derechos de la mujer. 

: 
@WQRadio_Ec
.",824,1400,"10,3 mil"
157,"Las propuestas nacen de la gente, de lo que uno escucha en cada rincón del Ecuador. Mi compromiso es contribuir a la lucha contra la desigualdad laboral e impulsar el emprendimiento, para que las mujeres gocen de independencia económica. 

: 
@WQRadio_Ec
.",252,517,"3,3 mil"
158,"Ser madre no debe limitar la vida profesional. Tanto en el sector público como el privado, promoveremos guarderías con salas de lactancia para que las mujeres continúen con sus trabajos y cuidando a sus hijos. 

: 
@WQRadio_Ec
.",238,1000,"5,4 mil"
159,"Encontrémonos para que nunca más las mujeres pierdan el sueño por la falta de trabajo. 

Abramos espacios en el mercado laboral y construyamos un Ecuador donde todas vivan empoderadas, tengan sus propios ingresos y sean independientes.

#EncontrémonosParaEscucharnos",121,626,"4,5 mil"
160,"“Todos saben mi posición de defender la vida desde su concepción, y morirè pensando así pero no estoy de acuerdo con una legislación que condene a cárcel una mujer que aborte por violación. Sería terminar de dañarla .. “ dijo 
@LassoGuillermo
  en 
@WQRadio_EC",255,1000,"8,5 mil"
161,"Al aire: Periodistas ecuatorianas mujeres participan en programa especial por el #DiaDeLaMujer con el candidato presidencial ⁦
@LassoGuillermo
 por la 102.1fm ⁦
@WQRadio_EC
⁩",228,844,"5,5 mil"
162,"Un abrazo fraterno en estos #50AñosDeHistoria de una gran institución como es el 
@DCuencaOficial
, #Cuenquita, como todos de cariño le decimos.

Sigan cosechando alegrías, triunfos y emociones indescriptibles para todas las cuencanas y cuencanos. Viva el Cuenquita .",661,1600,"13,7 mil"
163,"Gracias a mis hermanos por este regalo. Me han llenado de ánimo, realmente no me lo esperaba .

https://vm.tiktok.com/ZMeMeX7rY/",65,594,"2,6 mil"
164,"Encontrémonos por el empleo hoy a las 17h30.

Dejen sus preguntas, los espero . 

#EncontrémonosPorElEmpleo",52,291,"2,2 mil"
165,"Hoy la 
@PoliciaEcuador
 conmemora 83 años de profesionalización y 175 de institucionalización. Saludo a las mujeres y los hombres que están comprometidos con la seguridad ciudadana y sirven al país con valentía para mantener el orden público .",26,325,"2,1 mil"
166,"Hay que incluir a las zonas rurales en la visión de país. Nuestra propuesta ofrece salud y educación de calidad, seguridad ciudadana, internet gratis, capacitaciones y asistencia técnica, carreteras y caminos vecinales y una vida de oportunidades.

: Cadena Radial.",92,206,"1,6 mil"
167,"En nuestro gobierno la vacuna será GRATIS. Primero el personal médico y grupos vulnerables, y luego el resto de la población. La salud ES reactivación económica. Con un Plan de Vacunación transparente y eficaz cumpliremos nuestra meta.

: Cadena Radial.",85,210,"1,7 mil"
168,"A todo el Ecuador: conversemos y unamos nuestras visiones del futuro. Lo más importante es escuchar a los ciudadanos porque ellos tienen el poder del voto. Hay que responder sus inquietudes y atender preocupaciones.

: 
@Gamavisionecu
.",241,501,"4,1 mil"
169,"Un Presidente de la República debe promover el encuentro entre ecuatorianos. Nuestra propuesta busca unir al país y enfrentar las crisis con capacidad y experiencia. Y no solo es conversar, sino acordar y comprometerse al verdadero cambio.  

: 
@Gamavisionecu
.",480,1500,"7,9 mil"
170,"Ser madre no debe ser un limitante para ejercer una profesión. Vamos a generar políticas e incentivos que contribuyan a la construcción de guarderías públicas y en las empresas. Crearemos las condiciones para que concilien el trabajo con la vida familiar. 

: 
@NTN24Zoom
.",594,2100,12 mil
171,"Hay que tener las mejores relaciones con todos los países. En mí van a encontrar un aliado todos los gobiernos democráticos del mundo. Mi primer interés es el bienestar de los ciudadanos ecuatorianos. 

: 
@NTN24Zoom
.",118,229,"2,2 mil"
172,"Soy el menor de una familia de 11 hermanos. Trabajé desde los 14 años y no he parado. Todo lo que he logrado en mi vida es por luchar y siempre mirar hacia el futuro. Ahora quiero hacer lo mismo para el Ecuador, encontrándonos. 

: 
@NTN24Zoom
.",509,1500,"12,9 mil"
173,"Hoy #26FEB, entrevista exclusiva de 
@andrebernal26
 a 
@LassoGuillermo
, candidato presidencial de Ecuador | Sintonice 
@NTN24Zoom
 a las 3:00PM de Quito, por la señal de 
@NTN24",217,751,"4,5 mil"
174,"Hacemos un llamado al candidato 
@ecuarauz
 a que haga una campaña limpia y no use a los trolls correístas para difundir noticias falsas. 
@LassoGuillermo
 no ha sido vacunado contra el #COVID19 y no ha recibido ninguna “invitación” del Ministro de Salud.",119,381,"3,4 mil"
175,"El proceso de vacunación debe incluir a más actores. Hoy vemos a un municipio, no solo al Gobierno en la compra de vacunas. Así se llegará a más ecuatorianos. Desde ahora, con el Dr. 
@ABorreroVega
 estamos trabajando en un Plan eficiente y transparente. 

: 
@teleamazonasec
.",389,1000,"9,2 mil"
176,"La economía, la lucha contra la corrupción, la salud y la seguridad ciudadana continuarán siendo pilares fundamentales de nuestro Plan de Gobierno. Con su apoyo, incluiremos más y mejores propuestas de medio ambiente, arte y cultura, mujeres y jóvenes. 

: 
@teleamazonasec
.",221,756,"5,4 mil"
177,"Hay que adaptarse a los tiempos modernos y hacer cambios. Seguiré siendo el mismo Guillermo Lasso, pero los he escuchado. Estamos listos para trabajar con todos los ciudadanos y llegar al Ecuador del encuentro. 

: 
@teleamazonasec
.",77,395,"3,4 mil"
178,"Ya estamos en TikTok .

http://vm.tiktok.com/ZMe2QrUyS/",19,139,855
179,"La cárcel de Turi en Cuenca era regional y la hicieron nacional, arriesgando el sistema penitenciario. Es inaceptable la inacción del gobierno. Necesitamos un liderazgo firme, que libere a las cárceles del control del crimen organizado y las mafias.",443,1200,10 mil
180,Me uno a la petición de no circular los videos sobre los amotinamientos. Hay familias que han sufrido pérdidas dolorosas y merecen el debido respeto. Mis más sinceras condolencias en estos momentos difíciles.,49,222,"2,2 mil"
181,"Lo sucedido en las cárceles de Cuenca, Latacunga y Guayaquil es lamentable. Es necesario reformar nuestro sistema penitenciario. Hay que establecer un enfoque de rehabilitación, que vele por la seguridad de las personas privadas de libertad, la Policía Nacional y los ciudadanos.",466,1800,"20,5 mil"
182,Muchas gracias a quienes se conectaron al EN VIVO. Seguiremos teniendo más encuentros en nuestras redes sociales. Un abrazo.,294,1200,"6,4 mil"
183,"Hola, estamos EN VIVO en mi cuenta de Facebook, vayan y dejen sus preguntas con el hashtag #PuntoDeEncuentro . 

FB: https://facebook.com/LassoGuillermo/videos/230615382090666/…

¡Los espero!",83,706,"5,5 mil"
184,Durante nuestro Gobierno reformaremos el régimen penitenciario y carcelario para evitar el hacinamiento y cortar las conexiones con las mafias locales e internacionales.,62,573,4 mil
185,"Mi total respaldo con la 
@PoliciaEcuador
 ante la nueva crisis que se está sufriendo en la cárceles del país, fruto del hacinamiento y de la influencia del crimen organizado.",707,4100,"16,3 mil"
186,"Felicito a la Señora Fiscal 
@DianaSalazarM2
 por el reconocimiento que recibió del Departamento de Estado de EEUU, por su lucha frontal y eficaz contra la corrupción.",40,512,"4,4 mil"
187,"Vamos a reducir el exceso de impuestos, atraer inversión, abrir la economía al mundo, garantizar los servicios básicos y promover la generación de empleo. Estamos listos para empezar el camino hacia el verdadero cambio. 

: 
@elcomerciocom
.",134,1200,"9,2 mil"
188,"La vacunación debe ser el principal punto del programa económico de un futuro gobierno. Lo dije en primera vuelta. La salud de los ciudadanos ecuatorianos es el primer paso para prender el motor del país y reactivar la economía. 

: 
@elcomerciocom
.",198,1100,"8,3 mil"
189,"Los jóvenes buscan ser autónomos, quieren emprender y ellos generar empleo. En nuestro gobierno impulsaremos las iniciativas de emprendimiento de cada joven en Ecuador con menos trabas y más libertad. 

: 
@eluniversocom
.",165,1300,"7,7 mil"
190,"Mi campaña en primera vuelta se basó en el empleo, la lucha contra la corrupción, la salud y la seguridad ciudadana. Reconozco que hay causas que movieron el voto de los ecuatorianos que debemos incluir en nuestro Plan de Gobierno.

: 
@eluniversocom
.",2300.0,7900,"50,6 mil"
191,"Veo la segunda vuelta como la oportunidad de liderar un gran diálogo nacional y poder conversar entre nosotros para el desarrollo del país. Comprendí con absoluta claridad que las puertas deben abrirse e incluir propuestas distintas a las mías. 

: Rueda de Prensa en Quito.",703,3400,"17,1 mil"
192,"Voy a extender la mano a quienes piensan diferente a mí. Cuando sea Presidente del Ecuador, generaremos intercambios de ideas y complementaremos para construir un mejor país. Mi propósito es la felicidad de todos los ecuatorianos. 

: Rueda de Prensa en Quito.",3200.0,11200,"45,8 mil"
193,"Quiero agradecer a todos los ecuatorianos que optaron por otras opciones políticas. He escuchado su pedido de que incluya sus causas: el medio ambiente, el desarrollo sostenible, la igualdad de género y los derechos humanos.  

: Rueda de Prensa en Quito.",1800.0,4700,22 mil
194,"#ElEcuadorDelEncuentro es un país donde todos los ecuatorianos puedan conversar, opinar y complementarse. Juntos sentaremos las bases para crear una sociedad viable, donde cada familia sea feliz y tenga una mejor vida.

: Rueda de Prensa en Quito.",1100.0,3300,"21,1 mil"
195,"Un Presidente tiene que promover la participación de todos los ecuatorianos. Yo tengo la obligación de escuchar y eso es lo que le propongo al país. Llevaré a cabo diálogos con todos los sectores de la sociedad que tengan algo que decirme. 

: 
@ecuavisa
.",455,1400,"8,6 mil"
196,"Los resultados son oficiales: ya estamos en segunda vuelta. En la narrativa de la campaña y en el Plan de Gobierno incluiremos nuevas  propuestas para llegar a #ElEcuadorDelEncuentro, donde todos tengan un espacio para vivir en paz. 

: 
@ecuavisa
.",681,2400,"11,9 mil"
197,"¡Vamos a la segunda vuelta con ánimo y optimismo!

Conmigo siempre habrá el espacio para tener un diálogo frontal y sincero que sume al objetivo de conseguir juntos #ElEcuadorDelEncuentro.",212,1100,"4,7 mil"
198,"Es importante remarcar que la autoridad competente dentro del proceso es el Consejo Nacional Electoral.

No es momento de temores, de defender a personas o intereses particulares. 

Es momento de defender y fortalecer la democracia.",112,621,"2,4 mil"
199,"Quiero alertar a la ciudadanía que en las últimas horas se han producido hechos que deberían alarmar a todos quienes defendemos la democracia en Ecuador.

1. Se ha retirado parcialmente el resguardo policial al 
@cnegobec
2. Han intervenido algunas autoridades ajenas al proceso.",117,764,3 mil
200,"Reconocemos tu voz y te escuchamos. Podemos construir un mejor Ecuador encontrándonos. 

Que la diversidad que nos hace únicos, también nos una. #ElEcuadorDelEncuentro",322,1100,"4,4 mil"
201,Más claro no puede ser .,166,740,"2,4 mil"
202,"No sé si exagero, pero me parece que un mínimo de coherencia y buena fe, mientras se ejecuta el acuerdo de reconteo, es que Yaku deje de insultar a Lasso.",614,2100,"8,4 mil"
203,"Dije que tendrían EMPATÍA, no INGENUIDAD.
@yakuperezg
 le hace fraude al acuerdo, y al Ecuador, enviando una carta PRIVADA al CNE, imponiendo condiciones no acordadas (qué provincias y actas abrir).

Parecen no buscar transparencia sino JUSTIFICAR SU DERROTA. Esto no es un juego.",202,842,"2,9 mil"
204,Son los votos de los ciudadanos y no las encuestas quienes deben determinar los candidatos que pasen a la segunda vuelta. El pueblo ya me escogió a mí y no a usted. Respete la voluntad popular.,173,607,"2,2 mil"
205,"Candidato 
@yakuperezg
, no voy a caer en sus provocaciones; la verificación contable solicitada por usted debe ser transparente y jamás obedecer a sus intentos de fraude y caos en la democracia.",161,1000,"4,7 mil"
206,"Candidato Pérez, un proceso de diálogo no admite coerción contra las autoridades electorales como la denuncia planteada por usted ante la Fiscalía, intentando presionar para que hagan lo que usted desea y no lo que deben hacer por la transparencia. Eso no es jugar limpio.",135,741,"2,3 mil"
207,"El recuento solicitado por usted no puede tener dedicatoria, no puede prestarse a la sospecha de fraude. Son las autoridades electorales las que tienen que escoger bajo un método aleatorio las mesas a verificar y no usted.",118,404,"1,7 mil"
208,Resulta inoficioso y costoso en tiempo y recursos económicos verificar contablemente votos en provincias donde usted me ganó ampliamente y yo no las he objetado.,193,837,"3,2 mil"
209,"El acuerdo quedó en manos de la autoridad electoral para definir detalles de recintos y mesas sobre las que se realizaría la verificación contable de votos. En ningún caso se acordó que sería usted, como lo ha dicho en su carta el sáb. 13, quien escoja las mesas. No es correcto.",100,490,"1,6 mil"
210,"Señor candidato 
@yakuperezg
 para mí la política no es un juego, es una permanente actitud de servicio a todos los ecuatorianos sin discriminación alguna.",324,1200,4 mil
211,"Hoy he presentado una carta a 
@DianaAtamaint
, presidenta del CNE, sobre el proceso de reconteo de votos acordado el viernes 12.

Les comparto el documento.",303,921,"3,8 mil"
212,"Los ecuatorianos nos hacen un llamado a la unidad. Por encima de las diferencias, el país es lo primero.

#EcuadorUNIDO",124,607,"2,2 mil"
213,"Es mi decisión de liderar junto a ustedes un proyecto de país donde se respeten sus ideas, sus causas y en donde toda esa diversidad de propuestas a las cuales apoyaron el 7 de febrero sean incluidas.

#EcuadorUNIDO",144,738,"3,4 mil"
214,"Hoy debe primar el bienestar de todos los ecuatorianos, por eso acepto la invitación del candidato 
@yakuperezg
 el día de mañana en Quito para conversar sobre el futuro del Ecuador delante del CNE y los observadores internacionales.

#EcuadorUNIDO",160,674,"2,5 mil"
215,"En 1 minuto estamos EN VIVO.

Los esperamos en Facebook. 

#EcuadorUNIDO",163,797,"3,2 mil"
216,"Hoy, a las 18h15, mis declaraciones sobre el proceso electoral.

FB: https://facebook.com/LassoGuillermo/posts/5072120476162488…

#EcuadorUNIDO",66,406,"1,3 mil"
217,"De acuerdo con 
@xhervas
, ese es el camino. Debemos unirnos y apoyar la opción democrática que los ecuatorianos decidan que pase a la segunda vuelta. Y luego llegar a acuerdos de gobernabilidad.",490,1400,6 mil
218,"Hay que respetar la voluntad popular expresada el 7 de febrero por lo que todos los votos deben ser contados.  

Hago un llamado a la tranquilidad mientras esperamos los resultados oficiales y a la unidad, a los que creemos en la democracia y en las oportunidades para todos.",138,630,"2,6 mil"
219,"¡AHORA! Rueda de prensa sobre las elecciones de 2021.

FB: https://facebook.com/LassoGuillermo/posts/5056504651057404…
YT: https://youtu.be/ivKXiQffPe8

#EcuadorConLasso",331,1200,"3,6 mil"
220,"#EcuadorConLasso
#YaVotéPorElCambio",847,2400,"9,9 mil"
221,"El pueblo ecuatoriano es claro y contundente: el espíritu del CAMBIO va a triunfar .

¡VOTA TODO 21-6!

#EcuadorConLasso
#YaVotéPorElCambio",103,441,"1,4 mil"
222,"¡SEGUIMOS! 

Únete al Informativo CAMBIO 2021, donde podrás enterarte de las noticias de este proceso electoral y las votaciones de los candidatos de 
@CREOEcuador
 . Empezamos 15h00 .

FB: https://facebook.com/LassoGuillermo/posts/5054950274546175…
YT: https://youtu.be/Hr6MhVN70T0

#EcuadorConLasso
#YaVotéPorElCambio",97,490,"1,6 mil"
223,"EL CAMBIO YA SE SIENTE EN TODO EL ECUADOR .

¡VOTA TODO 21-6!

#EcuadorConLasso
#YaVotéPorElCambio",120,524,"2,3 mil"
224,"TU VOTO POR LA 21-6 RESCATARÁ AL ECUADOR .  

#EcuadorConLasso
#YaVotéPorElCambio",65,209,777
225,"Mi familia, mi punto de apoyo .

#EcuadorConLasso
#YaVotéPorElCambio",456,890,"6,4 mil"
226,"Aplicaremos MANO DE HIERRO a la delincuencia y generaremos seguridad para crear empleo . 

¡VOTA TODO 21-6!

#EcuadorConLasso
#YaVotéPorElCambio",109,413,"1,3 mil"
227,"¡ESTAMOS EN VIVO! 

Te esperamos en esta gran transmisión del día de las elecciones desde nuestras redes sociales . 

VOTA TODO 21-6 .

#EcuadorConLasso 
#YaVotéPorElCambio",109,657,"2,1 mil"
228,"Únete al Informativo CAMBIO 2021 donde podrás conocer el minuto a minuto del proceso electoral y la votación de los candidatos de la LISTA 21 este 7 DE FEBRERO desde las 9H00.

FB: https://facebook.com/LassoGuillermo/posts/5052416844799518…
YT: https://youtu.be/EyBT-6vj6xY

#EcuadorConLasso
#YaVotéPorElCambio",195,621,"2,5 mil"
229,"TENEMOS LA CAPACIDAD PARA RESCATAR AL ECUADOR .  

¡VOTA TODO 21-6!   

#EcuadorConLasso
#YaVotéPorElCambio",142,667,"2,5 mil"
230,"Con empleos bien pagados, aumentaremos los ingresos de los ecuatorianos.   

Nuestra meta siempre ha sido tu prosperidad . 

#EcuadorConLasso
#YoVotoPorElCambio
#ElCambioEsLa21",80,364,1 mil
231,"El 7 de febrero, SAL A VOTAR POR LA CAPACIDAD PARA CAMBIAR . 

El CAMBIO está en tus manos. Tú decides por la opción del empleo y la prosperidad.  

¡VOTA TODO 21-6!

#EcuadorConLasso .",389,1000,"4,7 mil"
232,"¡1 DÍA!   

Ecuador tendrá unas elecciones históricas. Que tu voto sea por la democracia, la libertad y la creación de empleos.   

Vota por tu país, por la #CapacidadParaCambiar y por el futuro. VOTA TODO 21-6 .   

EL CAMBIO ESTÁ EN NUESTRAS MANOS .  

#EcuadorConLasso",103,429,"1,3 mil"
233,"¡ESTE ES EL ECUADOR DEL EMPLEO!

El que juntos vamos a lograr con #CapacidadParaCambiar .

VOTA TODO 21-6 . 

#EcuadorConLasso
#LassoPresidente2021",373,1200,"4,9 mil"
234,"Ecuador y Guayaquil votan todo 21-6, la opción con la CAPACIDAD PARA CAMBIAR. 
@creoecuador
 @la6ecuador
 

#EcuadorConLasso
#LassoPresidente2021",129,467,"1,4 mil"
235,"Gracias Presidente 
@tutoquiroga
 por su mensaje y apoyo a esta causa. América Latina volverá a ser una región próspera y llena de oportunidades. Este 7 de febrero, #EcuadorConLasso . Un abrazo.",312,964,"3,8 mil"
236,"Este 7 de febrero, VAMOS A GANAR . 

Gracias a 
@CynthiaViteri6
, 
@jaimenebotsaadi
 y a 
@La6Ecuador
 por unirse al CAMBIO con 
@CREOEcuador
. 

A todos quienes se han unido en el camino, les agradezco por su confianza en nosotros.

¡Gracias Ecuador! 

#EcuadorConLasso
#LassoYaGanó",920,2100,"6,9 mil"
